P#,Gender,Gender_N,Role,Date/Time,Site,Age,YRS_Grad,Sleep,HRS_EHR,YRS_EHR,Service_prior,Service_prior_hours,Service_after,Service_after_hours,Day_off,Stress,Mental_demand,Physical_demand,Temporal_demand,Performance,Effort,Frustration,1_Satisfied_Easy,2_Simple,3_Quick,4_Comfortable,5_Easy,6_Productive,7_Error,8_Mistake,9_Clear,10_Easy_Find,11_Effective,12_Organization_Clear,13_Pleasant,14_Like,15_Functions,16_Satisfied,Mulitipy_by_5,Mental_demand_5,Physical_demand_5,Temporal_demand_5,Performance_5,Effort_5,Frustration_5,Mean_NASA_TLX_5,CSUQ_score_avg
1,F,1,APP-NP,"2/20, 11:00",A,43,9,3,30,6,0,,0,,1,6,4,2,7,4,5,7,5,3,2,2,2,2,2,5,4,3,3,3,5,5,6,5,5,20,10,35,20,25,35,24.16666667,3.5625
2,M,0,Resident,"2/20, 13:00",A,32,1,3,60,4,0,,0,,1,3,13,5,16,10,12,7,3,3,3,4,6,4,7,4,2,3,3,5,4,4,6,3,,65,25,80,50,60,35,52.5,4
3,M,0,Fellow,"2/20, 15:00",A,35,13,0,60,6,0,,0,,1,0,7,3,6,4,5,5,4,3,5,2,3,3,5,4,5,3,4,5,3,4,5,4,,35,15,30,20,25,25,25,3.875
4,F,1,Resident,"2/20, 16:30",A,27,2,2,50,3,1,5,0,,0,3,8,2,5,5,7,6,2,2,2,3,3,2,4,5,3,3,2,1,1,3,1,2,,40,10,25,25,35,30,27.5,2.4375
5,F,1,Attending,"2/21, 8:30",A,38,16,4,60,6,0,,0,,1,3,10,4,9,9,9,9,5,5,5,4,4,5,7,7,7,5,5,5,5,5,5,4,,50,20,45,45,45,45,41.66666667,5.1875
6,M,0,Fellow,"2/21, 10:00",A,36,12,0,40,9,0,,1,8,0,0,2,2,3,3,3,3,2,2,2,2,2,2,3,3,3,2,2,2,2,3,2,2,,10,10,15,15,15,15,13.33333333,2.25
7,F,1,APP-NP,"2/21, 12:30",A,40,8,1,40,6,1,7,0,,0,4,6,1,4,5,4,4,3,3,2,2,3,3,4,4,4,2,2,2,2,2,3,3,,30,5,20,25,20,20,20,2.75
8,F,1,Fellow,"2/21, 14:00",A,31,4,3,60,1,0,,0,,1,0,11,1,10,15,7,12,2,2,2,3,3,3,N/A,2,2,5,4,3,2,2,3,3,,55,5,50,75,35,60,46.66666667,2.733333333
9,F,1,Resident,"2/21, 15:30",A,28,2,3,30,4,1,6,0,,0,3,6,2,8,7,7,5,3,4,2,2,4,2,7,6,6,3,2,5,4,4,3,3,,30,10,40,35,35,25,29.16666667,3.75
10,M,0,APP-NP,"2/21, 17:00",A,41,14,0,25,6,0,,1,12,0,0,2,1,2,2,1,2,1,1,1,1,1,1,4,2,2,1,3,3,4,4,4,4,,10,5,10,10,5,10,8.333333333,2.3125
11,M,0,Resident,"2/22, 07:00",A,37,12,4,8,4,0,,1,7,0,2,8,12,13,16,16,14,7,6,6,6,6,4,5,3,4,5,3,5,5,6,3,5,,40,60,65,80,80,70,65.83333333,4.9375
